"country","both","male","female"
"Latvia","13.1900","21.6100","6.3100"
"Moldova","12.8500","20.6100","5.8900"
"Germany","12.7900","19.7100","6.1500"
"Lithuania","12.7800","20.6000","6.3000"
"Ireland","12.7500","19.3800","6.3400"
"Spain","12.6700","19.9400","5.7600"
"Uganda","12.4800","20.6100","4.9400"
"Bulgaria","12.4600","19.8600","5.5900"
"Luxembourg","12.4500","18.7400","6.0800"
"Romania","12.3400","19.5000","5.6800"
"Andorra","12.2600","18.5800","5.7400"
"Montenegro","12.2400","19.5100","5.3000"
"France","12.2300","19.2100","5.8300"
"Slovenia","12.1100","18.6800","5.6700"
"Portugal","12.0900","19.5100","5.5900"
"Laos","12.0800","19.1100","5.0900"
"Tanzania","12.0400","19.8900","4.3600"
"Austria","11.9300","18.4200","5.7600"
"Poland","11.8900","18.6500","5.6500"
"United Kingdom","11.4500","17.7400","5.4000"
"Switzerland","11.2300","17.1800","5.4500"
"Hungary","11.0700","17.6600","5.2400"
"Slovakia","11.0600","17.2600","5.3000"
"Burkina Faso","11.0500","18.5000","3.8500"
"Belarus","10.9600","17.9300","5.1300"
"Cook Islands","10.9400","17.9500","4.3600"
"Belgium","10.8000","16.7000","5.1300"
"Cyprus","10.8000","16.9200","4.7600"
"Estonia","10.7500","17.3500","5.0600"
"New Zealand","10.6900","16.4600","5.2300"
"Finland","10.6500","16.5600","4.9900"
"Russia","10.5000","17.9900","4.3100"
"Greece","10.5000","16.7200","4.6000"
"Barbados","10.3700","16.9500","4.3500"
"Australia","10.3600","15.7200","5.1100"
"Denmark","10.1300","15.5800","4.8000"
"Japan","10.0900","15.5800","4.9300"
"United States","9.9700","15.4400","4.6900"
"Niue","9.9300","16.0400","3.7700"
"Netherlands","9.6700","14.9000","4.5400"
"Saint Lucia","9.5900","15.4500","3.9700"
"Georgia","9.4700","15.6100","4.1100"
"South Africa","9.4500","15.7400","3.4600"
"Argentina","9.4500","14.6600","4.6400"
"Antigua and Barbuda","9.4000","15.0900","4.2500"
"Iceland","9.2100","14.0300","4.3900"
"Sweden","9.0400","13.8500","4.2700"
"Grenada","8.9600","14.2500","3.6400"
"Chile","8.9500","13.7400","4.3600"
"Serbia","8.8500","14.0900","3.9300"
"Seychelles","8.8400","13.4100","4.0200"
"Canada","8.8100","13.7300","4.0100"
"Eswatini","8.7800","14.7800","3.2600"
"Croatia","8.7300","13.9600","3.9900"
"Thailand","8.5000","13.7500","3.6100"
"South Korea","8.4500","12.7600","4.1700"
"Ukraine","8.3400","14","3.6500"
"Malta","8.2700","12.8800","3.6900"
"Gabon","8.0800","12.2400","3.7000"
"Italy","8.0100","12.7400","3.6100"
"Rwanda","7.9600","13.1100","3.1100"
"Vietnam","7.9300","12.8400","3.1900"
"Cambodia","7.8400","12.9000","3.2100"
"Angola","7.8300","12.3900","3.4800"
"Bosnia and Herzegovina","7.8100","12.9500","2.9600"
"Panama","7.7700","12.2300","3.3600"
"Burundi","7.4500","12.2200","2.8900"
"Suriname","7.4000","11.7400","3.1000"
"Brazil","7.3200","11.6500","3.2200"
"Dominica","7.2300","11.5300","2.9000"
"Saint Vincent and the Grenadines","7.1500","11.2900","2.8700"
"Norway","7.1400","10.8000","3.4500"
"Philippines","7.0200","11.2200","2.8700"
"Paraguay","7.0100","10.9600","2.9400"
"Uruguay","6.9200","10.8200","3.3800"
"Equatorial Guinea","6.9200","9.6300","3.1200"
"Albania","6.8200","11.0200","2.5300"
"Peru","6.7800","10.4100","3.2400"
"Dominican Republic","6.6800","10.6200","2.8000"
"Botswana","6.6100","11.1000","2.6100"
"Trinidad and Tobago","6.5200","10.2400","2.9400"
"North Macedonia","6.4300","10.3600","2.5400"
"Belize","6.3700","10.1800","2.6500"
"Saint Kitts and Nevis","6.3400","10.0100","2.7800"
"Cuba","6.2600","9.9700","2.6400"
"Nigeria","6.1900","9.8400","2.4900"
"China","6.0400","9.3700","2.6000"
"Mongolia","5.9000","9.2300","2.7200"
"Sao Tome and Principe","5.8000","9.1500","2.4900"
"India","5.6100","9.0600","1.8900"
"Guinea-Bissau","5.5400","9.3200","2.0900"
"Cameroon","5.5200","8.7600","2.3200"
"Colombia","5.4500","8.8400","2.2700"
"Liberia","5.3700","8.5800","2.2000"
"Guyana","5.3300","8.5700","2.1000"
"Sierra Leone","5.3100","9.1900","1.4700"
"Lesotho","5.0800","8.6500","1.6700"
"Nicaragua","5.0700","8.3100","2.0200"
"Mexico","5.0500","8.1300","2.1800"
"Kazakhstan","5","8.3300","2.0200"
"Kyrgyzstan","4.8500","8.3800","1.5100"
"Bahamas","4.8000","7.6600","2.1600"
"Mauritius","4.7800","7.6700","2"
