"country","birthRate","pop2022"
"Angola","43.7000","35588987"
"Niger","43.6000","26207977"
"Mali","43.2000","22593590"
"Chad","43","17723315"
"Uganda","42.4000","47249585"
"Zambia","41.1000","20017675"
"Burundi","40.9000","12889576"
"Malawi","40.7000","20405317"
"Somalia","39.3000","17597511"
"Liberia","37.9000","5302681"
"Mozambique","37.8000","32969518.0000"
"Afghanistan","37.5000","41128771"
"Guinea-Bissau","37.3000","2105566"
"Burkina Faso","36.9000","22673762"
"South Sudan","36.9000","10913164"
"Guinea","36.4000","13859341"
"Ethiopia","36","123379924"
"Sierra Leone","36","8605718"
"Tanzania","35.3000","65497748"
"Nigeria","35.2000","218541212"
"Cameroon","35","27914536"
"Benin","34.5000","13352864"
"Sudan","34.2000","46874204"
"Zimbabwe","34","16320537"
"Central African Republic","34","5579144"
"Republic of the Congo","33.7000","5970424"
"Senegal","32.9000","17316449"
"Timor-Leste","32.9000","1341296"
"DR Congo","32.8000","99010212"
"Togo","32.8000","8848699"
"Equatorial Guinea","31.7000","1674908"
"Sao Tome and Principe","31.5000","227380"
"Madagascar","31","29611714"
"Ghana","30.2000","33475870.0000"
"Ivory Coast","30.1000","28160542"
"Iraq","30","44496122"
"Mauritania","29.9000","4736139"
"Rwanda","29.8000","13776698"
"Eritrea","29.1000","3684032"
"Egypt","28.8000","110990103"
"Yemen","27.6000","33696614"
"Namibia","26.8000","2567012"
"Comoros","25.3000","836774"
"Guatemala","24.6000","17843908"
"Solomon Islands","24.5000","724273"
"Lesotho","24.2000","2305825"
"Marshall Islands","23.8000","41569"
"Oman","23.7000","4576298"
"Tuvalu","23.7000","11312"
"Jordan","23.6000","11285869"
"Vanuatu","23.5000","326740"
"Philippines","23.4000","115559009"
"Papua New Guinea","23.3000","10142619"
"Djibouti","23.3000","1120849"
"Laos","23.2000","7529475"
"Nauru","23.2000","12668"
"Belize","22.9000","405272"
"Tajikistan","22.8000","9952787"
"Kenya","22.6000","54027487"
"Haiti","22.6000","11584996"
"Cambodia","22.5000","16767842"
"Honduras","22","10432860"
"Tonga","21.8000","106858"
"Botswana","21.7000","2630296"
"Pakistan","21.6000","235824862"
"Bolivia","21.6000","12224110"
"Kyrgyzstan","21.6000","6630623"
"Algeria","21.5000","44903225"
"Kiribati","21","131232"
"Syria","20.7000","22125249"
"Samoa","20.2000","222382"
"South Africa","19.9000","59893885"
"Cape Verde","19.7000","593149"
"Micronesia","19.6000","114164"
"Guam","19.4000","171774"
"Nepal","19.1000","30547580"
"American Samoa","19","44273"
"Dominican Republic","18.9000","11228821"
"Turkmenistan","18.9000","6430770"
"Malaysia","18.8000","33938221"
"Kuwait","18.8000","4268873"
"India","18.7000","1417173173"
"Bangladesh","18.6000","171186372"
"Venezuela","18.5000","28301696"
"Mongolia","18.2000","3398366"
"Fiji","18.2000","929766"
"Mexico","18.1000","127504125"
"Israel","17.9000","9038309"
"Myanmar","17.7000","54179306"
"Peru","17.6000","34049588"
"Ecuador","17.6000","18001000"
"Panama","17.6000","4408581"
"Morocco","17.5000","37457971"
"Kazakhstan","17.5000","19397998"
"Nicaragua","17.5000","6948392"
"Iran","17.4000","88550570"
"Tunisia","17.4000","12356117"
"Libya","17.2000","6812341"
"Bhutan","17","782455"
"Brunei","16.9000","449002"
"Uzbekistan","16.6000","34627652"
"Paraguay","16.6000","6780744"
"Argentina","16.5000","45510318"
"Jamaica","16.5000","2827377"
"El Salvador","16.1000","6336392"
"Maldives","16.1000","523787.0000"
"Indonesia","15.9000","275501339"
"Colombia","15.8000","51874024"
"Saudi Arabia","15.6000","36408820"
"Suriname","15.6000","618040"
"Antigua and Barbuda","15.6000","93763"
"Turkey","15.4000","85341241"
"Guyana","15.4000","808726"
"Azerbaijan","15.3000","10358074"
"Costa Rica","15.3000","5180829"
"Vietnam","15.2000","98186856"
"Grenada","15.2000","125438"
"Northern Mariana Islands","14.9000","49551"
"Turks and Caicos Islands","14.9000","45703"
"Sri Lanka","14.8000","21832143"
"New Caledonia","14.8000","289950"
"North Korea","14.6000","26069416"
"French Polynesia","14.5000","306279"
"Faroe Islands","14.5000","53090"
"Greenland","14.3000","56466"
"Lebanon","14.1000","5489739"
"Brazil","13.9000","215313498"
"Ireland","13.8000","5023109"
"Cook Islands","13.7000","17011"
"Iceland","13.6000","372899"
"Chile","13.4000","19603733"
"Seychelles","13.4000","107118"
"Albania","13.2000","2842321"
"New Zealand","13.1000","5185288"
"Bahrain","13.1000","1472233"
"Saint Lucia","13.1000","179857"
"Uruguay","13","3422794"
"Saint Vincent and the Grenadines","13","103948"
"Saint Kitts and Nevis","13","47657"
"Mauritius","12.8000","1299469"
"Armenia","12.6000","2780469"
"United States Virgin Islands","12.5000","99465"
"United States","12.4000","338289857"
"Anguilla","12.4000","15857"
"Trinidad and Tobago","12.3000","1531044"
"Aruba","12.3000","106445"
"Norway","12.2000","5434319"
"China","12.1000","1425887337"
"France","12.1000","64626628"
"Sweden","12.1000","10549347"
"Georgia","12.1000","3744385"
"United Kingdom","12","67508936"
"Australia","12","26177413"
"Cayman Islands","12","68706"
"Montenegro","11.9000","627082"
"Luxembourg","11.6000","647599"
"Barbados","11.6000","281635"
"Belgium","11.3000","11655930"
"Bermuda","11.3000","64184"
"Palau","11.3000","18055"
"Moldova","11.2000","3272996"
"British Virgin Islands","11.1000","31305"
"Thailand","11","71697030"
"Netherlands","10.9000","17564014"
"Denmark","10.9000","5882261"
"Isle of Man","10.9000","84519"
"Falkland Islands","10.9000","3780"
"North Macedonia","10.8000","2093599.0000"
"Russia","10.7000","144713314"
"Finland","10.7000","5540745"
"Cuba","10.6000","11212191"
"Switzerland","10.5000","8740472"
"Montserrat","10.5000","4390"
"Liechtenstein","10.4000","39327"
"Canada","10.2000","38454327"
"Ukraine","10.1000","39701739"
"Belarus","10","9534954"
"Malta","10","533286"
"Estonia","9.9000","1326062"
"United Arab Emirates","9.8000","9441129"
"Lithuania","9.8000","2750055"
"Slovakia","9.6000","5643453"
"Latvia","9.6000","1850651"
"Austria","9.5000","8939617"
"Qatar","9.5000","2695122"
"Poland","9.3000","39857145"
"Czech Republic","9.2000","10493986"
"Slovenia","9.2000","2119844"
"Spain","9","47558630"
"Hungary","8.9000","9967308"
"Serbia","8.9000","7221365"
"Hong Kong","8.8000","7488865"
"Croatia","8.8000","4030358"
"Romania","8.7000","19659267"
"Singapore","8.7000","5975689"
"Bosnia and Herzegovina","8.7000","3233526"
"Germany","8.6000","83369843"
"San Marino","8.6000","33660"
"Italy","8.5000","59037474"
"Bulgaria","8.5000","6781953"
"Macau","8.4000","695168"
"South Korea","8.3000","51815810"
"Greece","8.3000","10384971"
"Taiwan","8.2000","23893394"
"Portugal","8.2000","10270865"
"Japan","8","123951692"
"Andorra","7.3000","79824"
"Monaco","6.5000","36469"
