"country","rank2021","rank2020","pop2022"
"United States","1","1","338289857"
"United Kingdom","2","2","67508936"
"Germany","3","4","83369843"
"Canada","4","3","38454327"
"France","5","5","64626628"
"Switzerland","6","6","8740472"
"Japan","7","11","123951692"
"Australia","8","7","26177413"
"Sweden","9","8","10549347"
"Netherlands","10","9","17564014"
"New Zealand","11","14","5185288"
"Denmark","12","10","5882261"
"Norway","13","12","5434319"
"Italy","14","16","59037474"
"Finland","15","15","5540745"
"Austria","16","13","8939617"
"Spain","17","18","47558630"
"Belgium","18","","11655930"
"South Korea","19","22","51815810"
"Ireland","20","","5023109"
"Singapore","21","19","5975689"
"China","22","24","1425887337"
"Russia","23","21","144713314"
"Israel","24","25","9038309"
"Portugal","25","20","10270865"
"Poland","26","23","39857145"
"United Arab Emirates","27","28","9441129"
"Greece","28","26","10384971"
"Hungary","30","","9967308"
"Turkey","31","31","85341241"
"India","32","34","1417173173"
"South Africa","33","32","59893885"
"Argentina","34","29","45510318"
"Saudi Arabia","35","46","36408820"
"Brazil","36","30","215313498"
"Mexico","37","36","127504125"
"Malaysia","38","39","33938221"
"Egypt","39","42","110990103"
"Ukraine","40","38","39701739"
"Qatar","41","37","2695122"
"Lithuania","42","45","2750055"
"Croatia","43","33","4030358"
"Estonia","44","47","1326062"
"Slovakia","45","44","5643453"
"Thailand","46","48","71697030"
"Romania","47","40","19659267"
"Chile","48","35","19603733"
"Bulgaria","49","43","6781953"
"Latvia","50","50","1850651"
"Colombia","51","49","51874024"
"Belarus","52","51","9534954"
"Slovenia","53","41","2119844"
"Indonesia","54","55","275501339"
"Philippines","55","52","115559009"
"Uruguay","56","","3422794"
"Morocco","57","57","37457971"
"Jordan","58","53","11285869"
"Vietnam","59","64","98186856"
"Panama","60","56","4408581"
"Costa Rica","61","54","5180829"
"Oman","62","62","4576298"
"Serbia","63","58","7221365"
"Peru","64","59","34049588"
"Azerbaijan","65","61","10358074"
"Sri Lanka","66","67","21832143"
"Tunisia","67","63","12356117"
"Kenya","68","68","54027487"
"Dominican Republic","69","60","11228821"
"Lebanon","70","69","5489739"
"Kazakhstan","71","70","19397998"
"Uzbekistan","72","","34627652"
"Ecuador","73","65","18001000"
"El Salvador","74","","6336392"
"Cambodia","75","","16767842"
"Myanmar","76","71","54179306"
"Iraq","77","","44496122"
"Guatemala","78","73","17843908"
