"rank","country","iq","pop2022"
"1","Japan","106.4800","123951692"
"2","Taiwan","106.4700","23893394"
"3","Singapore","105.8900","5975689"
"4","Hong Kong","105.3700","7488865"
"5","China","104.1000","1425887337"
"6","South Korea","102.3500","51815810"
"7","Belarus","101.6000","9534954"
"8","Finland","101.2000","5540745"
"9","Liechtenstein","101.0700","39327"
"10","Germany","100.7400","83369843"
"11","Netherlands","100.7400","17564014"
"12","Estonia","100.7200","1326062"
"13","Luxembourg","99.8700","647599"
"14","Macau","99.8200","695168"
"15","Cambodia","99.7500","16767842"
"16","Canada","99.5200","38454327"
"17","Australia","99.2400","26177413"
"18","Hungary","99.2400","9967308"
"19","Switzerland","99.2400","8740472"
"20","United Kingdom","99.1200","67508936"
"21","Greenland","98.8900","56466"
"22","North Korea","98.8200","26069416"
"23","Slovenia","98.6000","2119844"
"24","New Zealand","98.5700","5185288"
"25","Austria","98.3800","8939617"
"26","Iceland","98.2600","372899"
"27","Denmark","97.8300","5882261"
"28","Belgium","97.4900","11655930"
"29","United States","97.4300","338289857"
"30","Norway","97.1300","5434319"
"31","Sweden","97","10549347"
"32","France","96.6900","64626628"
"33","Poland","96.3500","39857145"
"34","Slovakia","96.3200","5643453"
"35","Russia","96.2900","144713314"
"36","Lithuania","95.8900","2750055"
"37","Croatia","95.7500","4030358"
"38","Andorra","95.2000","79824"
"39","Ireland","95.1300","5023109"
"40","Czech Republic","94.9200","10493986"
"41","Latvia","94.7900","1850651"
"42","Italy","94.2300","59037474"
"43","Vanuatu","93.9200","326740"
"44","New Caledonia","93.9200","289950"
"45","Spain","93.9000","47558630"
"46","Bermuda","93.4800","64184"
"47","Cyprus","93.3900","1251488"
"48","Portugal","92.7700","10270865"
"49","Israel","92.4300","9038309"
"50","Barbados","91.6000","281635"
"51","Malta","91.2700","533286"
"52","Myanmar","91.1800","54179306"
"53","Mongolia","91.0300","3398366"
"54","Bulgaria","90.9900","6781953"
"55","Greece","90.7700","10384971"
"56","Suriname","90.2900","618040"
"57","Ukraine","90.0700","39701739"
"58","Moldova","89.9800","3272996"
"59","Serbia","89.6000","7221365"
"60","Vietnam","89.5300","98186856"
"61","Iraq","89.2800","44496122"
"62","Uzbekistan","89.0100","34627652"
"63","Kazakhstan","88.8900","19397998"
"64","Thailand","88.8700","71697030"
"65","Armenia","88.8200","2780469"
"66","Bosnia and Herzegovina","88.5400","3233526"
"67","Costa Rica","88.3400","5180829"
"68","Bhutan","87.9400","782455"
"69","Chile","87.8900","19603733"
"70","Mexico","87.7300","127504125"
"71","Tajikistan","87.7100","9952787"
"72","Uruguay","87.5900","3422794"
"73","Malaysia","87.5800","33938221"
"74","Brunei","87.5800","449002"
"75","Bahamas","86.9900","409984"
"76","Romania","86.8800","19659267"
"77","Turkey","86.8000","85341241"
"78","Argentina","86.6300","45510318"
"79","Sri Lanka","86.6200","21832143"
"80","Mauritius","86.5600","1299469"
"81","Turkmenistan","85.8600","6430770"
"82","Montenegro","85.7800","627082"
"83","Trinidad and Tobago","85.6300","1531044"
"84","Azerbaijan","84.8100","10358074"
"85","Georgia","84.5000","3744385"
"86","Turks and Caicos Islands","84.2900","45703"
"87","Paraguay","84.0400","6780744"
"88","Fiji","83.9600","929766"
"89","Solomon Islands","83.9600","724273"
