"country","medianIncome","meanIncome","gdpPerCapitaPPP","pop2022"
"Luxembourg","26321","31376","124590","647599"
"United Arab Emirates","24292","27017","70089","9441129"
"Norway","22684","25272","70005","5434319"
"Switzerland","21490","25787","72376","8740472"
"United States","19306","25332","65297","338289857"
"Canada","18652","22042","51668","38454327"
"Austria","18405","20718","60418","8939617"
"Sweden","17625","20193","56632","10549347"
"Denmark","17432","20304","62089","5882261"
"Netherlands","17154","19690","61285","17564014"
"Australia","17076","21329","53381","26177413"
"Iceland","17017","19300","60132","372899"
"Germany","16845","19730","57530","83369843"
"France","16372","19409","50992","64626628"
"Finland","16332","18742","53171","5540745"
"Belgium","16157","17917","56348","11655930"
"United Kingdom","14793","18133","49931","67508936"
"Malta","14543","16509","47578","533286"
"Ireland","14520","17938","89683","5023109"
"Japan","14255","17095","43593","123951692"
"Taiwan","13605","16355","0","23893394"
"Italy","13170","15547","45722","59037474"
"Cyprus","13053","15663","41254","1251488"
"South Korea","12507","14316","44011","51815810"
"Slovenia","11878","13056","42431","2119844"
"Spain","11786","13822","43495","47558630"
"Israel","10866","13271","42897","9038309"
"Estonia","10651","12540","39986","1326062"
"Czech Republic","10046","11394","44295","10493986"
"Poland","8885","10155","35165","39857145"
"Portugal","8439","10316","37918","10270865"
"Lithuania","8267","10479","40016","2750055"
"Slovakia","7991","8408","33515","5643453"
"Latvia","7971","9727","33020","1850651"
"Lebanon","7712","9091","15195","5489739"
"Hungary","7684","8613","34966","9967308"
"Uruguay","7533","9888","22515","3422794"
"Malaysia","7512","10200","29619","33938221"
"Croatia","7196","8008","31130","4030358"
"Greece","6936","8131","32506","10384971"
"Belarus","6507","7359","19997","9534954"
"Chile","6293","9304","27002","19603733"
"Panama","6254","9453","32850","4408581"
"Bosnia and Herzegovina","5925","7131","16288","3233526"
"Bulgaria","5696","7474","25312","6781953"
"Russia","5504","7275","29181","144713314"
"Costa Rica","5457","8440","21737","5180829"
"Maldives","5409","6435","20395","523787.0000"
"Argentina","5319","6935","0","45510318"
"Seychelles","5314","8044","30516","107118"
"Turkey","5251","7267","28133","85341241"
"Romania","5206","5949","33339","19659267"
"Brazil","4559","7654","15299","215313498"
"Saint Lucia","4519","6946","16132","179857"
"Ukraine","4434","5010","13341","39701739"
"Serbia","4416","5252","19495","7221365"
"Iran","4360","5924","12937","88550570"
"Thailand","4356","5670","19276","71697030"
"Paraguay","4334","6373","13246","6780744"
"Montenegro","4193","5123","24035","627082"
"Dominican Republic","4060","5873","19227","11228821"
"North Macedonia","3857","4279","18107","2093599.0000"
"Mauritius","3832","4969","23882","1299469"
"Peru","3678","4977","13416","34049588"
"Kazakhstan","3661","4313","27517","19397998"
"Bolivia","3631","4787","9110","12224110"
"Ecuador","3525","5046","11878","18001000"
"Tunisia","3366","4076","11231","12356117"
"Mexico","3315","4929","20944","127504125"
"Colombia","3259","5201","16012","51874024"
"Azerbaijan","3193","3851","15041","10358074"
"Jordan","3185","4025","10517","11285869"
"Vietnam","3149","3881","8397","98186856"
"Moldova","3133","3590","13626","3272996"
"El Salvador","3095","3989","9164","6336392"
"Jamaica","2899","4429","10193","2827377"
"Trinidad and Tobago","2868","3711","27334","1531044"
"Mongolia","2800","3409","12861","3398366"
"Tonga","2782","3677","6665","106858"
"Gabon","2779","3544","15611","2388992"
"Morocco","2716","3721","7826","37457971"
"Venezuela","2710","3741","17527","28301696"
"Nicaragua","2697","3913","5646","6948392"
"Algeria","2612","2996","12019","44903225"
"Albania","2578","3141","14648","2842321"
"Samoa","2537","3418","6795","222382"
"Fiji","2460","3261","14289","929766"
"Bhutan","2446","3189","12355","782455"
"Sri Lanka","2277","3162","13656","21832143"
"Georgia","2273","2814","15655","3744385"
"Armenia","2216","2810","14257","2780469"
"Tuvalu","2099","2802","4470","11312"
"Guatemala","2036","3103","9019","17843908"
"Guyana","2003","2729","13661","808726"
"Syria","1996","2606","0","22125249"
"Tajikistan","1994","2437","3529","9952787"
"Namibia","1962","4023","10063","2567012"
"Honduras","1959","3109","5981","10432860"
"Iraq","1951","2293","11362","44496122"
"Belize","1927","3246","7314","405272"
"Myanmar","1909","2296","5369","54179306"
"Kyrgyzstan","1892","2235","5485","6630623"
"Ghana","1779","2422","5652","33475870.0000"
"Mauritania","1760","2094","5427","4736139"
"Suriname","1659","2593","17256","618040"
"South Africa","1624","4081","13034","59893885"
"Botswana","1596","2907","18552","2630296"
"Philippines","1581","2199","9302","115559009"
"Kiribati","1489","1858","2372","131232"
"Egypt","1485","1847","0","110990103"
"Micronesia","1413","1858","3547","114164"
"Djibouti","1403","1869","5779","1120849"
"Comoros","1401","2050","3194","836774"
"Pakistan","1399","1797","4898","235824862"
"Gambia","1383","1784","2321","2705992"
"Vanuatu","1379","1781","3292","326740"
"Sudan","1277","1592","4122","46874204"
"Cameroon","1245","1841","3803","27914536"
"Haiti","1162","1540","3034","11584996"
"Lesotho","1157","1659","2824","2305825"
"Nepal","1155","1428","3567","30547580"
"Yemen","1150","1503","3688","33696614"
"Bangladesh","1131","1414","4964","171186372"
"Eswatini","1097","2091","9003","1201670"
"Laos","1065","1389","8172","7529475"
"Solomon Islands","1028","1333","2780","724273"
"Ivory Coast","987","1358","5443","28160542"
"Timor-Leste","970","1147","3709","1341296"
"Zimbabwe","932","1429","2961","16320537"
"Ethiopia","907","1107","2319","123379924"
"Sao Tome and Principe","901","1620","4145","227380"
"Republic of the Congo","892","1375","3835","5970424"
"Chad","880","1182","1649","17723315"
"Papua New Guinea","876","1162","4547","10142619"
"Kenya","874","1197","4521","54027487"
"Senegal","844","1137","3545","17316449"
"Guinea","843","1036","2675","13859341"
"Nigeria","825","1021","5362","218541212"
"Uganda","804","1166","2284","47249585"
"South Sudan","793","1121","1234","10913164"
"Sierra Leone","765","1004","1794","8605718"
"Liberia","753","945","1491","5302681"
"Burkina Faso","748","1002","2274","22673762"
"Niger","738","937","1278","26207977"
"Turkmenistan","706","963","15206","6430770"
"Tanzania","702","992","2770","65497748"
"Benin","699","989","3432","13352864"
"Mali","689","861","2424","22593590"
"Togo","683","964","1667","8848699"
"Angola","665","1066","6965","35588987"
"Rwanda","621","925","2325","13776698"
"Uzbekistan","591","752","7308","34627652"
"Zambia","545","1045","3624","20017675"
"Mozambique","529","947","1338","32969518.0000"
"Central African Republic","491","891","986","5579144"
"Guinea-Bissau","486","797","2077","2105566"
"Malawi","484","733","1106","20405317"
"Burundi","475","640","784","12889576"
"Madagascar","398","567","1719","29611714"
"DR Congo","395","548","1146","99010212"
"China","0","4246","16829","1425887337"
"India","0","1314","6996","1417173173"
