Region,Country,Global Rank,Regional Rank,Social Factors Index,"Life Expectancy
(Years)","Median Age
(Years)","Mean Years of Schooling
(Years)","Government Spend on Education 
(% of GDP)",Employment to Population Ratio (%),Population Living in Poverty (%)
Asia-Pacific,Afghanistan,114,26,68.1,64.8,18.4,3.9,4.6,4.1,
Europe,Albania,58,38,87.4,78.6,36.4,10.1,,2.5,1.7
Africa,Algeria,83,2,82.1,76.9,28.5,8.0,3.2,,0.5
Africa,Angola,112,12,69.5,61.2,16.7,5.2,3.7,,
Americas,Argentina,48,5,89.2,76.7,31.5,10.9,5.3,5.5,
Europe,Armenia,50,35,88.5,75.1,35.4,11.3,4.7,2.7,2.1
Asia-Pacific,Australia,7,2,96.1,83.4,37.9,12.7,3.1,5.3,
Europe,Austria,18,11,94.9,81.5,43.5,12.5,2.5,5.5,
Asia-Pacific,Azerbaijan,63,12,86.9,73.0,32.3,10.6,4.0,2.5,
Americas,"Bahamas, The",46,4,89.3,73.9,32.3,11.4,4.8,,
Middle East,Bahrain,66,7,86.1,77.3,32.5,9.5,3.1,2.3,
Asia-Pacific,Bangladesh,110,25,70.1,72.6,27.6,6.2,3.6,2.0,14.8
Europe,Belarus,35,25,91.7,74.8,40.3,12.3,1.5,4.8,
Europe,Belgium,26,18,93.8,81.6,41.9,12.1,,6.5,
Africa,Benin,145,37,45.3,61.8,18.8,3.8,2.7,4.0,49.5
Asia-Pacific,Bhutan,108,23,70.5,71.8,28.1,4.1,6.2,6.6,1.5
Americas,Bolivia,90,19,80.7,71.5,25.6,9.0,2.6,,4.5
Europe,Bosnia and Herzegovina,65,40,86.8,77.4,43.1,9.8,4.7,,0.1
Africa,Botswana,102,9,76.3,69.6,24.0,9.6,5.4,,16.1
Americas,Brazil,93,20,80.0,75.9,33.5,8.0,,6.2,4.4
Asia-Pacific,Brunei Darussalam,118,29,65.9,75.9,32.3,9.1,,4.4,43.7
Europe,Bulgaria,44,32,89.6,75.1,44.6,11.4,5.2,4.1,
Africa,Burkina Faso,124,19,61.4,61.6,17.6,1.6,4.7,6.0,
Africa,Burundi,155,47,34.4,61.6,17.3,3.3,5.0,5.0,71.8
Africa,Cabo Verde,100,7,76.8,73.0,27.6,6.3,,5.2,
Asia-Pacific,Cambodia,105,21,72.5,69.8,25.6,5.0,5.6,2.2,
Africa,Cameroon,125,20,61.3,59.3,18.7,6.3,3.1,3.1,23.8
Americas,Canada,3,1,97.2,82.4,41.1,13.4,4.0,,
Africa,Central African Republic,153,45,35.9,53.3,17.6,4.3,6.6,,66.3
Africa,Chad,146,38,44.1,54.2,16.6,2.5,,2.2,38.4
Americas,Chile,43,3,89.8,80.2,35.3,10.6,4.9,5.4,
Asia-Pacific,China,82,17,82.3,76.9,38.4,8.1,,,0.5
Americas,Colombia,85,16,81.9,77.3,31.3,8.5,2.1,4.5,4.1
Africa,Comoros,119,15,63.0,64.3,20.4,5.1,7.1,2.5,17.6
Africa,"Congo, Dem. Rep",150,42,40.2,60.7,17.0,6.8,4.4,1.5,76.6
Africa,"Congo, Rep.",131,24,58.2,64.6,19.2,6.5,,3.6,37.0
Americas,Costa Rica,68,9,85.5,80.3,33.5,8.7,2.4,7.0,
Africa,Cote d'Ivoire,132,25,56.4,57.8,18.9,5.3,6.5,4.4,28.2
Europe,Croatia,37,27,91.1,78.5,44.3,11.4,2.5,4.6,
Europe,Cyprus,25,17,93.8,81.0,37.3,12.2,3.8,6.3,
Europe,Czech Republic,23,15,94.5,79.4,43.2,12.7,2.6,5.6,
Europe,Denmark,20,13,94.8,80.9,42.3,12.6,2.6,7.6,
Americas,Dominican Republic,87,17,81.4,74.1,28.0,8.1,2.2,,0.4
