"country","averageTemperature","averageTemperatureF"
"Burkina Faso","28.2500","82.8500"
"Mali","28.2500","82.8500"
"Kiribati","28.2000","82.7600"
"Djibouti","28","82.4000"
"Tuvalu","28","82.4000"
"Senegal","27.8500","82.1300"
"Mauritania","27.6500","81.7700"
"Maldives","27.6500","81.7700"
"Palau","27.6000","81.6800"
"Benin","27.5500","81.5900"
"Gambia","27.5000","81.5000"
"Marshall Islands","27.4000","81.3200"
"Ghana","27.2000","80.9600"
"Niger","27.1500","80.8700"
"Togo","27.1500","80.8700"
"Qatar","27.1500","80.8700"
"Bahrain","27.1500","80.8700"
"Seychelles","27.1500","80.8700"
"Somalia","27.0500","80.6900"
"United Arab Emirates","27","80.6000"
"Sri Lanka","26.9500","80.5100"
"Sudan","26.9000","80.4200"
"Brunei","26.8500","80.3300"
"Nigeria","26.8000","80.2400"
"Cambodia","26.8000","80.2400"
"Saint Vincent and the Grenadines","26.8000","80.2400"
"Guinea-Bissau","26.7500","80.1500"
"Samoa","26.7000","80.0600"
"Grenada","26.6500","79.9700"
"Chad","26.5500","79.7900"
"Singapore","26.4500","79.6100"
"Ivory Coast","26.3500","79.4300"
"Thailand","26.3000","79.3400"
"Sierra Leone","26.0500","78.8900"
"Guyana","26","78.8000"
"Barbados","26","78.8000"
"Antigua and Barbuda","26","78.8000"
"Indonesia","25.8500","78.5300"
"Philippines","25.8500","78.5300"
"Micronesia","25.8500","78.5300"
"Trinidad and Tobago","25.7500","78.3500"
"Guinea","25.7000","78.2600"
"Suriname","25.7000","78.2600"
"Solomon Islands","25.6500","78.1700"
"Oman","25.6000","78.0800"
"Comoros","25.5500","77.9900"
"Eritrea","25.5000","77.9000"
"Saint Lucia","25.5000","77.9000"
"Malaysia","25.4000","77.7200"
"Panama","25.4000","77.7200"
"Venezuela","25.3500","77.6300"
"Kuwait","25.3500","77.6300"
"Liberia","25.3000","77.5400"
"Belize","25.3000","77.5400"
"Papua New Guinea","25.2500","77.4500"
"Timor-Leste","25.2500","77.4500"
"Tonga","25.2500","77.4500"
"Cuba","25.2000","77.3600"
"Gabon","25.0500","77.0900"
"Bangladesh","25","77"
"Brazil","24.9500","76.9100"
"Jamaica","24.9500","76.9100"
"Haiti","24.9000","76.8200"
"Nicaragua","24.9000","76.8200"
"Central African Republic","24.9000","76.8200"
"Bahamas","24.8500","76.7300"
"Costa Rica","24.8000","76.6400"
"Kenya","24.7500","76.5500"
"Saudi Arabia","24.6500","76.3700"
"Cameroon","24.6000","76.2800"
"Dominican Republic","24.5500","76.1900"
"Republic of the Congo","24.5500","76.1900"
"Equatorial Guinea","24.5500","76.1900"
"Colombia","24.5000","76.1000"
"Saint Kitts and Nevis","24.5000","76.1000"
"Vietnam","24.4500","76.0100"
"El Salvador","24.4500","76.0100"
"Fiji","24.4000","75.9200"
"DR Congo","24","75.2000"
"Vanuatu","23.9500","75.1100"
"Yemen","23.8500","74.9300"
"Mozambique","23.8000","74.8400"
"Sao Tome and Principe","23.7500","74.7500"
"India","23.6500","74.5700"
"Paraguay","23.5500","74.3900"
"Honduras","23.5000","74.3000"
"Guatemala","23.4500","74.2100"
"Cape Verde","23.3000","73.9400"
"Uganda","22.8000","73.0400"
"Laos","22.8000","73.0400"
"Madagascar","22.6500","72.7700"
"Algeria","22.5000","72.5000"
"Mauritius","22.4000","72.3200"
"Tanzania","22.3500","72.2300"
"Dominica","22.3500","72.2300"
"Ethiopia","22.2000","71.9600"
"Egypt","22.1000","71.7800"
"Malawi","21.9000","71.4200"
"Ecuador","21.8500","71.3300"
"Libya","21.8000","71.2400"
"Australia","21.6500","70.9700"
"Angola","21.5500","70.7900"
"Bolivia","21.5500","70.7900"
"Botswana","21.5000","70.7000"
"Iraq","21.4000","70.5200"
"Zambia","21.4000","70.5200"
"Eswatini","21.4000","70.5200"
"Mexico","21","69.8000"
"Zimbabwe","21","69.8000"
"Pakistan","20.2000","68.3600"
"Namibia","19.9500","67.9100"
"Burundi","19.8000","67.6400"
"Peru","19.6000","67.2800"
"Tunisia","19.2000","66.5600"
"Israel","19.2000","66.5600"
"Malta","19.2000","66.5600"
"Cyprus","18.4500","65.2100"
"Jordan","18.3000","64.9400"
