"country","percUrban","urbRate20to25","pop2022"
"Hong Kong","1","0.0058","7488865"
"Singapore","1","0.0074","5975689"
"Kuwait","1","0.0135","4268873"
"Macau","1","0.0146","695168"
"Cayman Islands","1","0.0113","68706"
"Bermuda","1","-0.0020","64184"
"Sint Maarten","1","0.0116","44175"
"Monaco","1","0.0050","36469"
"Gibraltar","1","0.0045","32649"
"Anguilla","1","0.0047","15857"
"Nauru","1","0.0018","12668"
"Vatican City","1","0","510"
"Qatar","0.9930","0.0166","2695122"
"Belgium","0.9820","0.0038","11655930"
"San Marino","0.9770","0.0041","33660"
"United States Virgin Islands","0.9610","-0.0011","99465"
"Uruguay","0.9570","0.0040","3422794"
"Guam","0.9510","0.0084","171774"
"Malta","0.9490","0.0028","533286"
"Iceland","0.9400","0.0074","372899"
"Turks and Caicos Islands","0.9400","0.0146","45703"
"Puerto Rico","0.9360","-0.0012","3252407"
"Netherlands","0.9290","0.0059","17564014"
"Israel","0.9280","0.0151","9038309"
"Argentina","0.9230","0.0097","45510318"
"Japan","0.9200","-0.0025","123951692"
"Northern Mariana Islands","0.9200","0.0036","49551"
"Luxembourg","0.9190","0.0143","647599"
"Jordan","0.9180","0.0098","11285869"
"Gabon","0.9070","0.0227","2388992"
"Saint Pierre and Miquelon","0.9000","0.0075","5862"
"Bahrain","0.8970","0.0199","1472233"
"Lebanon","0.8930","-0.0123","5489739"
"Curacao","0.8900","0.0057","191163"
"Sweden","0.8850","0.0089","10549347"
"Venezuela","0.8840","0.0116","28301696"
"Denmark","0.8840","0.0054","5882261"
"Chile","0.8790","0.0078","19603733"
"Oman","0.8780","0.0232","4576298"
"Andorra","0.8780","0.0011","79824"
"Greenland","0.8770","0.0041","56466"
"Brazil","0.8760","0.0087","215313498"
"United Arab Emirates","0.8750","0.0150","9441129"
"American Samoa","0.8720","0.0026","44273"
"New Zealand","0.8690","0.0092","5185288"
"Australia","0.8650","0.0127","26177413"
"Finland","0.8570","0.0042","5540745"
"Saudi Arabia","0.8470","0.0169","36408820"
"United Kingdom","0.8440","0.0080","67508936"
"Dominican Republic","0.8380","0.0164","11228821"
"Norway","0.8370","0.0132","5434319"
"Bahamas","0.8350","0.0102","409984"
"United States","0.8310","0.0096","338289857"
"Colombia","0.8200","0.0101","51874024"
"Costa Rica","0.8200","0.0150","5180829"
"Palau","0.8200","0.0159","18055"
"Canada","0.8180","0.0095","38454327"
"France","0.8150","0.0067","64626628"
"South Korea","0.8140","0.0031","51815810"
"Mexico","0.8130","0.0140","127504125"
"Spain","0.8130","0.0024","47558630"
"Libya","0.8130","0.0145","6812341"
